Designator,Footprint,Quantity,Value,LCSC Part #
"_22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",634f0b0a-7a0d-49f3-8c6d-20ae2e3a1092,22,,
CN1,AUDIO-TH_HOOYA_PJ-322,1,PJ-322,C2939185
"H1_2, H1, H10_2, H10, H11_2, H11, H12_2, H12, H13_2, H13, H14_2, H14, H15_2, H15, H16_2, H16, H17_2, H17, H18_2, H18, H19_2, H19, H2_2, H2, H20_2, H20, H21_2, H21, H22_2, H22, H3_2, H3, H4_2, H4, H5_2, H5, H6_2, H6, H7_2, H7, H8_2, H8, H9_2, H9",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,44,HX6659ISO-B,C495742
"LED1_2, LED1, LED10_2, LED10, LED11_2, LED11, LED12_2, LED12, LED13_2, LED13, LED14_2, LED14, LED15_2, LED15, LED16_2, LED16, LED17_2, LED17, LED18_2, LED18, LED19_2, LED19, LED2_2, LED2, LED20_2, LED20, LED21_2, LED21, LED22_2, LED22, LED3_2, LED3, LED4_2, LED4, LED5_2, LED5, LED6_2, LED6, LED7_2, LED7, LED8_2, LED8, LED9_2, LED9",LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA,44,SK6812MINI-EA,C5378731
"SW1, SW3",MouseEncoder,2,~,
SW2,SW-TH_EC11NXXXX,1,EC11N1520401,C470703
"U1_2, U1, U2_2, U2",SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,4,CD74HC4067M96,C496123
"U3_2, U3",RP2040-Zero-outer,2,RP2040-Zero,
